MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.345	1.235	1.235	3.45	NAN	
0.1	0.135	0	0	1.35	NAN	
0.2	0.045	0.05	0.05	0.45	NAN	
0.3	0.06	0.08	0.08	0.6	NAN	
0.4	0.075	0.06	0.06	0.75	NAN	
0.5	0.105	0.075	0.075	1.05	NAN	
0.6	0.135	0.085	0.085	1.35	NAN	
0.7	0.165	0.085	0.085	1.65	NAN	
0.8	0.195	0.095	0.095	1.95	NAN	
0.9	0.21	0.08	0.08	2.1	NAN	
1	0.24	0.165	0.165	2.4	NAN	
1.1	0.27	0.19	0.19	2.7	NAN	
1.2	0.3	0.16	0.16	3	NAN	
1.3	0.33	0.185	0.185	3.3	NAN	
1.4	0.345	0.245	0.245	3.45	NAN	
1.5	0.375	0.335	0.335	3.75	NAN	
1.6	0.405	0.42	0.42	4.05	NAN	
1.7	0.42	0.55	0.55	4.2	NAN	
1.8	0.45	0.675	0.675	4.5	NAN	
1.9	0.48	0.885	0.885	4.8	NAN	
2	0.495	1.2	1.2	4.95	NAN	
2.1	0.525	1.415	1.415	5.25	NAN	
2.2	0.555	1.545	1.545	5.55	NAN	
2.3	0.585	1.45	1.45	5.85	NAN	
2.4	0.615	1.12	1.12	6.15	NAN	
2.5	0.63	0.835	0.835	6.3	NAN	
2.6	0.66	0.605	0.605	6.6	NAN	
2.7	0.69	0.435	0.435	6.9	NAN	
2.8	0.72	0.365	0.365	7.2	NAN	
2.9	0.75	0.355	0.355	7.5	NAN	
3	0.75	0.38	0.38	7.5	NAN	
3.1	0.78	0.475	0.475	7.8	NAN	
3.2	0.81	0.65	0.65	8.1	NAN	
3.3	0.84	0.84	0.84	8.4	NAN	
3.4	0.87	1.055	1.055	8.7	NAN	
3.5	0.885	1.23	1.23	8.85	NAN	
3.6	0.915	1.54	1.54	9.15	NAN	
3.7	0.945	1.89	1.89	9.45	NAN	
3.8	0.975	2.3	2.3	9.75	NAN	
3.9	1.005	2.73	2.73	10.05	NAN	
4	1.02	3.08	3.08	10.2	NAN	
4.1	1.05	3.105	3.105	10.5	NAN	
4.2	1.08	2.67	2.67	10.8	NAN	
4.3	1.095	1.945	1.945	10.95	NAN	
4.4	1.125	1.385	1.385	11.25	NAN	
4.5	1.14	0.93	0.93	11.4	NAN	
4.6	1.17	0.645	0.645	11.7	NAN	
4.7	1.2	0.45	0.45	12	NAN	
4.8	1.23	0.475	0.475	12.3	NAN	
4.9	1.26	0.595	0.595	12.6	NAN	
5	1.275	0.715	0.715	12.75	NAN	
5.1	1.305	0.99	0.99	13.05	NAN	
5.2	1.335	1.29	1.29	13.35	NAN	
5.3	1.365	1.595	1.595	13.65	NAN	
5.4	1.395	2.065	2.065	13.95	NAN	
5.5	1.41	2.59	2.59	14.1	NAN	
5.6	1.44	3.215	3.215	14.4	NAN	
5.7	1.455	3.67	3.67	14.55	NAN	
5.8	1.485	4.335	4.335	14.85	NAN	
5.9	1.515	4.755	4.755	15.15	NAN	
6	1.53	4.755	4.755	15.3	NAN	
6.1	1.56	4.11	4.11	15.6	NAN	
6.2	1.59	3.13	3.13	15.9	NAN	
6.3	1.62	2.21	2.21	16.2	NAN	
6.4	1.65	1.465	1.465	16.5	NAN	
6.5	1.665	0.955	0.955	16.65	NAN	
6.6	1.695	0.655	0.655	16.95	NAN	
6.7	1.725	0.69	0.69	17.25	NAN	
6.8	1.755	0.775	0.775	17.55	NAN	
6.9	1.77	0.88	0.88	17.7	NAN	
7	1.785	1.23	1.23	17.85	NAN	
7.1	1.815	1.66	1.66	18.15	NAN	
7.2	1.845	2.21	2.21	18.45	NAN	
7.3	1.875	2.585	2.585	18.75	NAN	
7.4	1.905	3.23	3.23	19.05	NAN	
7.5	1.92	4.11	4.11	19.2	NAN	
7.6	1.95	4.9	4.9	19.5	NAN	
7.7	1.98	5.68	5.68	19.8	NAN	
7.8	2.01	6.155	6.155	20.1	NAN	
7.9	2.025	6.315	6.315	20.25	NAN	
8	2.055	5.78	5.78	20.55	NAN	
8.1	2.085	4.805	4.805	20.85	NAN	
8.2	2.1	3.705	3.705	21	NAN	
8.3	2.13	2.665	2.665	21.3	NAN	
8.4	2.145	1.81	1.81	21.45	NAN	
8.5	2.175	1.32	1.32	21.75	NAN	
8.6	2.205	1.08	1.08	22.05	NAN	
8.7	2.235	1.055	1.055	22.35	NAN	
8.8	2.265	1.2	1.2	22.65	NAN	
8.9	2.28	1.485	1.485	22.8	NAN	
9	2.31	1.775	1.775	23.1	NAN	
9.1	2.34	2.405	2.405	23.4	NAN	
9.2	2.37	3.06	3.06	23.7	NAN	
9.3	2.4	3.75	3.75	24	NAN	
9.4	2.415	4.64	4.64	24.15	NAN	
9.5	2.43	5.615	5.615	24.3	NAN	
9.6	2.46	6.78	6.78	24.6	NAN	
9.7	2.49	7.485	7.485	24.9	NAN	
9.8	2.52	7.85	7.85	25.2	NAN	
9.9	2.535	7.65	7.65	25.35	NAN	
10	2.565	6.965	6.965	25.65	NAN	
10.1	2.595	5.925	5.925	25.95	NAN	
10.2	2.625	4.67	4.67	26.25	NAN	
10.3	2.655	3.53	3.53	26.55	NAN	
10.4	2.67	2.715	2.715	26.7	NAN	
10.5	2.7	2.19	2.19	27	NAN	
10.6	2.73	1.915	1.915	27.3	NAN	
10.7	2.76	1.865	1.865	27.6	NAN	
10.8	2.775	1.97	1.97	27.75	NAN	
10.9	2.79	2.475	2.475	27.9	NAN	
11	2.82	2.79	2.79	28.2	NAN	
11.1	2.85	3.495	3.495	28.5	NAN	
11.2	2.88	4.315	4.315	28.8	NAN	
11.3	2.895	5.265	5.265	28.95	NAN	
11.4	2.925	6.315	6.315	29.25	NAN	
11.5	2.955	7.45	7.45	29.55	NAN	
11.6	2.985	8.49	8.49	29.85	NAN	
11.7	3.015	9.28	9.28	30.15	NAN	
11.8	3.03	9.585	9.585	30.3	NAN	
11.9	3.06	9.39	9.39	30.6	NAN	
12	3.09	8.77	8.77	30.9	NAN	
12.1	3.105	7.665	7.665	31.05	NAN	
12.2	3.135	6.525	6.525	31.35	NAN	
12.3	3.15	5.475	5.475	31.5	NAN	
12.4	3.18	4.79	4.79	31.8	NAN	
12.5	3.195	4.75	4.75	31.95	NAN	
12.6	3.195	4.76	4.76	31.95	NAN	
12.7	3.195	4.81	4.81	31.95	NAN	
12.8	3.195	4.82	4.82	31.95	NAN	
12.9	3.195	4.84	4.84	31.95	NAN	
13	3.195	4.85	4.85	31.95	NAN	
13.1	3.195	4.86	4.86	31.95	NAN	
