Crystal angle	Rate at 27kV
theta/�	R(27kV)/Imp/s

3.0	300.0
3.1	281.0
3.2	221.0
3.3	153.0
3.4	123.0
3.5	80.0
3.6	53.0
3.7	34.0
3.8	24.0
3.9	23.0
4.0	21.0
4.1	21.0
4.2	16.0
4.3	19.0
4.4	13.0
4.5	16.0
4.6	13.0
4.7	14.0
4.8	13.0
4.9	17.0
5.0	17.0
5.1	21.0
5.2	24.0
5.3	28.0
5.4	34.0
5.5	30.0
5.6	38.0
5.7	41.0
5.8	48.0
5.9	55.0
6.0	52.0
6.1	59.0
6.2	67.0
6.3	71.0
6.4	85.0
6.5	92.0
6.6	97.0
6.7	91.0
6.8	112.0
6.9	121.0
7.0	117.0
7.1	142.0
7.2	165.0
7.3	194.0
7.4	234.0
7.5	225.0
7.6	247.0
7.7	346.0
7.8	296.0
7.9	145.0
8.0	118.0
8.1	131.0
8.2	118.0
8.3	123.0
8.4	138.0
8.5	140.0
8.6	145.0
8.7	138.0
8.8	134.0
8.9	140.0
9.0	136.0
9.1	137.0
9.2	136.0
9.3	145.0
9.4	143.0
9.5	148.0
9.6	139.0
9.7	144.0
9.8	144.0
9.9	133.0
10.0	118.0
10.1	116.0
10.2	128.0
10.3	122.0
10.4	119.0
10.5	113.0
10.6	112.0
10.7	123.0
10.8	119.0
10.9	118.0
11.0	117.0
11.1	116.0
11.2	118.0
11.3	115.0
11.4	126.0
11.5	115.0
11.6	114.0
11.7	113.0
11.8	109.0
11.9	106.0
12.0	104.0
12.1	112.0
12.2	103.0
12.3	116.0
12.4	105.0
12.5	102.0
12.6	97.0
12.7	111.0
12.8	100.0
12.9	107.0
13.0	95.0
13.1	109.0
13.2	102.0
13.3	119.0
13.4	139.0
13.5	126.0
13.6	102.0
13.7	94.0
