Crystal angle	Rate at 24kV
theta/�	R(24kV)/Imp/s

3.0	203.0
3.1	190.0
3.2	138.0
3.3	117.0
3.4	73.0
3.5	45.0
3.6	33.0
3.7	16.0
3.8	11.0
3.9	13.0
4.0	9.0
4.1	8.0
4.2	9.0
4.3	6.0
4.4	8.0
4.5	9.0
4.6	8.0
4.7	4.0
4.8	7.0
4.9	7.0
5.0	5.0
5.1	5.0
5.2	7.0
5.3	9.0
5.4	6.0
5.5	9.0
5.6	10.0
5.7	15.0
5.8	19.0
5.9	19.0
6.0	21.0
6.1	26.0
6.2	30.0
6.3	35.0
6.4	40.0
6.5	46.0
6.6	52.0
6.7	50.0
6.8	55.0
6.9	71.0
7.0	72.0
7.1	78.0
7.2	97.0
7.3	100.0
7.4	116.0
7.5	120.0
7.6	135.0
7.7	158.0
7.8	154.0
7.9	99.0
8.0	84.0
8.1	94.0
8.2	103.0
8.3	97.0
8.4	103.0
8.5	110.0
8.6	107.0
8.7	109.0
8.8	105.0
8.9	105.0
9.0	105.0
9.1	111.0
9.2	109.0
9.3	108.0
9.4	117.0
9.5	106.0
9.6	110.0
9.7	105.0
9.8	112.0
9.9	100.0
10.0	99.0
10.1	96.0
10.2	97.0
10.3	95.0
10.4	90.0
10.5	83.0
10.6	86.0
