Crystal angle	Rate at 21kV
theta/�	R(21kV)/Imp/s

3.0	113.0
3.1	109.0
3.2	88.0
3.3	67.0
3.4	51.0
3.5	26.0
3.6	17.0
3.7	8.0
3.8	6.0
3.9	5.0
4.0	3.0
4.1	5.0
4.2	4.0
4.3	4.0
4.4	4.0
4.5	4.0
4.6	3.0
4.7	3.0
4.8	3.0
4.9	3.0
5.0	4.0
5.1	3.0
5.2	2.0
5.3	3.0
5.4	4.0
5.5	3.0
5.6	3.0
5.7	5.0
5.8	3.0
5.9	2.0
6.0	4.0
6.1	4.0
6.2	6.0
6.3	5.0
6.4	7.0
6.5	12.0
6.6	17.0
6.7	23.0
6.8	19.0
6.9	25.0
7.0	28.0
7.1	33.0
7.2	33.0
7.3	43.0
7.4	43.0
7.5	47.0
7.6	45.0
7.7	58.0
7.8	59.0
7.9	58.0
8.0	59.0
8.1	61.0
8.2	64.0
8.3	73.0
8.4	69.0
8.5	69.0
8.6	67.0
8.7	80.0
8.8	78.0
8.9	75.0
9.0	73.0
9.1	76.0
9.2	78.0
9.3	76.0
9.4	77.0
9.5	83.0
9.6	87.0
9.7	82.0
9.8	75.0
9.9	80.0
10.0	73.0
10.1	74.0
10.2	65.0
10.3	68.0
10.4	64.0
10.5	66.0
10.6	71.0
10.7	66.0
10.8	66.0
10.9	69.0
11.0	70.0
11.1	67.0
11.2	66.0
11.3	66.0
11.4	59.0
11.5	63.0
11.6	61.0
11.7	61.0
11.8	57.0
