Crystal angle	Rate at 15kV
theta/�	R(15kV)/Imp/s

3.0	24.0
3.1	21.0
3.2	21.0
3.3	14.0
3.4	10.0
3.5	6.0
3.6	3.0
3.7	3.0
3.8	1.0
3.9	1.0
4.0	1.0
4.1	1.0
4.2	1.0
4.3	1.0
4.4	2.0
4.5	1.0
4.6	2.0
4.7	1.0
4.8	0.0
4.9	1.0
5.0	0.0
5.1	2.0
5.2	0.0
5.3	1.0
5.4	1.0
5.5	1.0
5.6	0.0
5.7	1.0
5.8	1.0
5.9	1.0
6.0	1.0
6.1	1.0
6.2	1.0
6.3	0.0
6.4	0.0
6.5	0.0
6.6	1.0
6.7	1.0
6.8	1.0
6.9	1.0
7.0	1.0
7.1	0.0
7.2	1.0
7.3	0.0
7.4	0.0
7.5	0.0
7.6	0.0
7.7	0.0
7.8	0.0
7.9	0.0
8.0	0.0
8.1	0.0
8.2	1.0
8.3	0.0
8.4	0.0
8.5	2.0
8.6	1.0
8.7	2.0
8.8	5.0
8.9	5.0
9.0	7.0
9.1	9.0
9.2	14.0
9.3	15.0
9.4	14.0
9.5	23.0
9.6	17.0
9.7	20.0
9.8	20.0
9.9	20.0
10.0	22.0
10.1	21.0
10.2	25.0
10.3	21.0
10.4	24.0
10.5	24.0
10.6	24.0
10.7	24.0
10.8	26.0
10.9	26.0
11.0	25.0
11.1	28.0
11.2	26.0
11.3	28.0
11.4	27.0
11.5	27.0
11.6	30.0
11.7	29.0
11.8	27.0
11.9	25.0
12.0	23.0
12.1	24.0
12.2	24.0
12.3	29.0
12.4	24.0
12.5	29.0
12.6	25.0
12.7	27.0
12.8	21.0
12.9	23.0
13.0	24.0
13.1	25.0
13.2	22.0
13.3	23.0
13.4	25.0
13.5	21.0
13.6	23.0
13.7	26.0
13.8	27.0
13.9	20.0
14.0	25.0
14.1	16.0
14.2	25.0
14.3	21.0
14.4	19.0
14.5	19.0
14.6	22.0
14.7	17.0
14.8	19.0
14.9	17.0
15.0	20.0
15.1	16.0
15.2	17.0
15.3	17.0
15.4	15.0
15.5	17.0
15.6	15.0
15.7	10.0
15.8	12.0
15.9	14.0
16.0	13.0
16.1	11.0
