0.0 	-0.36334
0.5 	-0.36400
1.0 	-0.36538
1.5 	-0.36662
2.0 	-0.36774
2.5 	-0.36854
3.0 	-0.36912
3.5 	-0.36968
4.0 	-0.36994
4.5 	-0.37098
5.0	    -0.37232
5.5 	-0.37322
6.0 	-0.37426
6.5 	-0.37514
7.0	    -0.37606
7.5	    -0.37732
8.0 	-0.37838
8.5     -0.37982
9.0     -0.38068
9.5     -0.38078
10.0	-0.38136
10.5	-0.38176
11.0	-0.38212
11.5	-0.38234
12.0	-0.38314
12.5	-0.38410
13.0	-0.38456
13.5	-0.38434
14.0	-0.38372
14.5	-0.38356
15.0	-0.38440
15.5	-0.38584
16.0	-0.38700
16.5	-0.38804
17.0	-0.38858
17.5	-0.38888
18.0	-0.38936
18.5	-0.39150
19.0	-0.39388
19.5	-0.39674
20.0	-0.39812
20.5	-0.39734
21.0	-0.39688
21.5	-0.39708
22.0	-0.39720
22.5	-0.39682
23.0	-0.39654
23.5	-0.39632
24.0	-0.39648
24.5	-0.39658
25.0	-0.39750
25.5	-0.39804
26.0	-0.39764
26.5	-0.39778
27.0	-0.39764
27.5	-0.39810
28.0	-0.39866
28.5	-0.39864
29.0	-0.39904
29.5	-0.39908
30.0	-0.39906
30.5	-0.39852
31.0	-0.39728
31.5	-0.39678
32.0	-0.39618
32.5	-0.39524
33.0	-0.39508
33.5	-0.39426
34.0	-0.39358
34.5	-0.39316
35.0	-0.39276
35.5	-0.39244
36.0	-0.39114
36.5	-0.39030
37.0	-0.38992
37.5	-0.38874
38.0	-0.38754
38.5	-0.38660
39.0	-0.38590
39.5	-0.38510
40.0	-0.38396
40.5	-0.38344
41.0	-0.38284
41.5	-0.38242
42.0	-0.38178
42.5	-0.38086
43.0	-0.38014
43.5	-0.37938
44.0	-0.37904
44.5	-0.37866
45.0	-0.37802
45.5	-0.37752
46.0	-0.37608
46.5	-0.37448
47.0	-0.37358
47.5	-0.37220
48.0	-0.37102
48.5	-0.36958
49.0	-0.36894
49.5	-0.36850
50.0	-0.36736
50.5	-0.36628
51.0	-0.36430
51.5	-0.36204
52.0	-0.36060
52.5	-0.35926
53.0	-0.35816
53.5	-0.35660
54.0	-0.35520
54.5	-0.35420
55.0	-0.35336
55.5	-0.35252
56.0	-0.35068
56.5	-0.34862
57.0	-0.34730
57.5	-0.34608
58.0	-0.34474
58.5	-0.34384
59.0	-0.34216
59.5	-0.33954
60.0	-0.33644
60.5	-0.33406
61.0	-0.33266
61.5	-0.33114
62.0	-0.32970
62.5	-0.32840
63.0	-0.32746
63.5	-0.32704
64.0	-0.32592
64.5	-0.32474
65.0	-0.32356
65.5	-0.32210
66.0	-0.32102
66.5	-0.31908
67.0	-0.31664
67.5	-0.31420
68.0	-0.31166
68.5	-0.30990
69.0	-0.30804
69.5	-0.30624
70.0	-0.30464
70.5	-0.30256
71.0	-0.30092
71.5	-0.29928
72.0	-0.29782
72.5	-0.29650
73.0	-0.29506
73.5	-0.29398
74.0	-0.29348
74.5	-0.29288
75.0	-0.29228
75.5	-0.29116
76.0	-0.29034
76.5	-0.28934
77.0	-0.28820
77.5	-0.28764
78.0	-0.28690
78.5	-0.28584
79.0	-0.28478
79.5	-0.28408
80.0	-0.28330
80.5	-0.28162
81.0	-0.28008
81.5	-0.27788
82.0	-0.27630
82.5	-0.27572
83.0	-0.27504
83.5	-0.27446
84.0	-0.27348
84.5	-0.27210
85.0	-0.27194
85.5	-0.27164
86.0	-0.27110
86.5	-0.27024
87.0	-0.26956
87.5	-0.26864
88.0	-0.26726
88.5	-0.26620
89.0	-0.26526
89.5	-0.26470
90.0	-0.26388
90.5	-0.26274
91.0	-0.26226
91.5	-0.26228
92.0	-0.26246
92.5	-0.26272
93.0	-0.26268
93.5	-0.26226
94.0	-0.26358
94.5	-0.26220
95.0	-0.26122
95.5	-0.26104
96.0	-0.26064
96.5	-0.25982
97.0	-0.25838
97.5	-0.25764
98.0	-0.25694
98.5	-0.25648
99.0	-0.25690
99.5	-0.25684
100.0	-0.25722
100.5	-0.25744
101.0	-0.25776
101.5	-0.25854
102.0	-0.25902
102.5	-0.25876
103.0	-0.25854
103.5	-0.25838
104.0	-0.25888
104.5	-0.25898
105.0	-0.25926
105.5	-0.25906
106.0	-0.25872
106.5	-0.25884
107.0	-0.25886
107.5	-0.25980
108.0	-0.26092
108.5	-0.26148
109.0	-0.26240
109.5	-0.26356
110.0	-0.26424
110.5	-0.26464
111.0	-0.26506
111.5	-0.26590
112.0	-0.26646
112.5	-0.26756
113.0	-0.26886
113.5	-0.26924
114.0	-0.27000
114.5	-0.27104
115.0	-0.27222
115.5	-0.27372
116.0	-0.27488
116.5	-0.27644
117.0	-0.27736
117.5	-0.27802
118.0	-0.27958
118.5	-0.28058
119.0	-0.28188
119.5	-0.28246
120.0	-0.28240
120.5	-0.28352
121.0	-0.28470
121.5	-0.28628
122.0	-0.28774
122.5	-0.28914
123.0	-0.29098
123.5	-0.29264
124.0	-0.29426
124.5	-0.29596
125.0	-0.29698
125.5	-0.29844
126.0	-0.29974
126.5	-0.30122
127.0	-0.30244
127.5	-0.30336
128.0	-0.30448
128.5	-0.30550
129.0	-0.30692
129.5	-0.30916
130.0	-0.31138
130.5	-0.31374
131.0	-0.31608
131.5	-0.31840
132.0	-0.32060
132.5	-0.32200
133.0	-0.32328
133.5	-0.32502
134.0	-0.32672
134.5	-0.32898
135.0	-0.33056
135.5	-0.33176
136.0	-0.33364
136.5	-0.33516
137.0	-0.33728
137.5	-0.33982
138.0	-0.34188
138.5	-0.34298
