MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
10.501	2.715	1.58	1.58	27.15	NAN	
10.601	2.73	1.57	1.57	27.3	NAN	
10.701	2.745	1.67	1.67	27.45	NAN	
10.801	2.775	1.855	1.855	27.75	NAN	
10.901	2.805	2.19	2.19	28.05	NAN	
11.001	2.835	2.63	2.63	28.35	NAN	
11.101	2.85	3.235	3.235	28.5	NAN	
11.201	2.88	3.855	3.855	28.8	NAN	
11.301	2.91	4.58	4.58	29.1	NAN	
11.401	2.94	5.375	5.375	29.4	NAN	
11.501	2.955	6.055	6.055	29.55	NAN	
11.601	2.985	6.615	6.615	29.85	NAN	
11.701	3.015	6.84	6.84	30.15	NAN	
11.801	3.045	6.72	6.72	30.45	NAN	
11.901	3.075	6.26	6.26	30.75	NAN	
12.001	3.075	5.465	5.465	30.75	NAN	
12.101	3.105	4.655	4.655	31.05	NAN	
12.201	3.135	3.985	3.985	31.35	NAN	
12.301	3.165	3.325	3.325	31.65	NAN	
12.401	3.195	2.985	2.985	31.95	NAN	
12.501	3.195	2.945	2.945	31.95	NAN	
12.601	3.195	2.995	2.995	31.95	NAN	
12.701	3.195	2.955	2.955	31.95	NAN	
