MIN=0	0	0	-0.1	0	0	
MAX=15	30	10	13	30	5	
SCALE=5	10	5	5	10	1	
DEC=1	2	2	2	2	2	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Collector Current" I_A / nA	"Acceleration Voltage" U_2 / V	"Frequency" f / Hz	
0	0.735	0.33	0.33	7.35	NAN	
0.1	0.315	0.05	0.05	3.15	NAN	
0.2	0.12	0.04	0.04	1.2	NAN	
0.3	0.09	0.15	0.15	0.9	NAN	
0.4	0.09	0.1	0.1	0.9	NAN	
0.5	0.105	0.085	0.085	1.05	NAN	
0.6	0.135	0.11	0.11	1.35	NAN	
0.7	0.165	0.12	0.12	1.65	NAN	
0.8	0.195	0.09	0.09	1.95	NAN	
0.9	0.21	0.09	0.09	2.1	NAN	
1	0.24	0.13	0.13	2.4	NAN	
1.1	0.27	0.125	0.125	2.7	NAN	
1.2	0.3	0.14	0.14	3	NAN	
1.3	0.33	0.13	0.13	3.3	NAN	
1.4	0.345	0.145	0.145	3.45	NAN	
1.5	0.36	0.26	0.26	3.6	NAN	
1.6	0.39	0.27	0.27	3.9	NAN	
1.7	0.42	0.26	0.26	4.2	NAN	
1.8	0.45	0.35	0.35	4.5	NAN	
1.9	0.48	0.43	0.43	4.8	NAN	
2	0.495	0.515	0.515	4.95	NAN	
2.1	0.525	0.565	0.565	5.25	NAN	
2.2	0.555	0.65	0.65	5.55	NAN	
2.3	0.585	0.59	0.59	5.85	NAN	
2.4	0.615	0.525	0.525	6.15	NAN	
2.5	0.63	0.41	0.41	6.3	NAN	
2.6	0.66	0.315	0.315	6.6	NAN	
2.7	0.69	0.235	0.235	6.9	NAN	
2.8	0.705	0.225	0.225	7.05	NAN	
2.9	0.735	0.225	0.225	7.35	NAN	
3	0.75	0.235	0.235	7.5	NAN	
3.1	0.78	0.275	0.275	7.8	NAN	
3.2	0.81	0.325	0.325	8.1	NAN	
3.3	0.84	0.4	0.4	8.4	NAN	
3.4	0.87	0.44	0.44	8.7	NAN	
3.5	0.885	0.595	0.595	8.85	NAN	
3.6	0.915	0.73	0.73	9.15	NAN	
3.7	0.945	0.875	0.875	9.45	NAN	
3.8	0.975	0.98	0.98	9.75	NAN	
3.9	1.005	1.21	1.21	10.05	NAN	
4	1.02	1.305	1.305	10.2	NAN	
4.1	1.05	1.425	1.425	10.5	NAN	
4.2	1.065	1.155	1.155	10.65	NAN	
4.3	1.095	0.86	0.86	10.95	NAN	
4.4	1.125	0.59	0.59	11.25	NAN	
4.5	1.14	0.405	0.405	11.4	NAN	
4.6	1.17	0.305	0.305	11.7	NAN	
4.7	1.2	0.225	0.225	12	NAN	
4.8	1.23	0.29	0.29	12.3	NAN	
4.9	1.26	0.28	0.28	12.6	NAN	
5	1.275	0.34	0.34	12.75	NAN	
5.1	1.305	0.51	0.51	13.05	NAN	
5.2	1.335	0.59	0.59	13.35	NAN	
5.3	1.365	0.8	0.8	13.65	NAN	
5.4	1.395	1.02	1.02	13.95	NAN	
5.5	1.41	1.13	1.13	14.1	NAN	
5.6	1.425	1.43	1.43	14.25	NAN	
5.7	1.455	1.705	1.705	14.55	NAN	
5.8	1.485	1.975	1.975	14.85	NAN	
5.9	1.515	2.095	2.095	15.15	NAN	
6	1.53	2.03	2.03	15.3	NAN	
6.1	1.56	1.665	1.665	15.6	NAN	
6.2	1.59	1.21	1.21	15.9	NAN	
6.3	1.62	0.895	0.895	16.2	NAN	
6.4	1.65	0.535	0.535	16.5	NAN	
6.5	1.665	0.43	0.43	16.65	NAN	
6.6	1.695	0.36	0.36	16.95	NAN	
6.7	1.725	0.395	0.395	17.25	NAN	
6.8	1.74	0.43	0.43	17.4	NAN	
6.9	1.77	0.54	0.54	17.7	NAN	
7	1.785	0.66	0.66	17.85	NAN	
7.1	1.815	0.845	0.845	18.15	NAN	
7.2	1.845	1.06	1.06	18.45	NAN	
7.3	1.875	1.285	1.285	18.75	NAN	
7.4	1.905	1.615	1.615	19.05	NAN	
7.5	1.92	1.84	1.84	19.2	NAN	
7.6	1.95	2.285	2.285	19.5	NAN	
7.7	1.98	2.605	2.605	19.8	NAN	
7.8	2.01	2.71	2.71	20.1	NAN	
7.9	2.025	2.685	2.685	20.25	NAN	
8	2.055	2.575	2.575	20.55	NAN	
8.1	2.07	1.975	1.975	20.7	NAN	
8.2	2.1	1.46	1.46	21	NAN	
8.3	2.13	1.025	1.025	21.3	NAN	
8.4	2.145	0.62	0.62	21.45	NAN	
8.5	2.175	0.5	0.5	21.75	NAN	
8.6	2.205	0.47	0.47	22.05	NAN	
8.7	2.235	0.51	0.51	22.35	NAN	
8.8	2.265	0.54	0.54	22.65	NAN	
8.9	2.28	0.785	0.785	22.8	NAN	
9	2.31	0.915	0.915	23.1	NAN	
9.1	2.34	1.175	1.175	23.4	NAN	
9.2	2.37	1.535	1.535	23.7	NAN	
9.3	2.385	1.88	1.88	23.85	NAN	
9.4	2.4	2.28	2.28	24	NAN	
9.5	2.43	2.725	2.725	24.3	NAN	
9.6	2.46	3.12	3.12	24.6	NAN	
9.7	2.49	3.46	3.46	24.9	NAN	
9.8	2.505	3.47	3.47	25.05	NAN	
9.9	2.535	3.355	3.355	25.35	NAN	
10	2.565	2.94	2.94	25.65	NAN	
10.1	2.595	2.395	2.395	25.95	NAN	
10.2	2.625	1.84	1.84	26.25	NAN	
10.3	2.64	1.34	1.34	26.4	NAN	
10.4	2.67	1.015	1.015	26.7	NAN	
10.5	2.7	0.88	0.88	27	NAN	
10.6	2.715	0.82	0.82	27.15	NAN	
10.7	2.745	0.91	0.91	27.45	NAN	
10.8	2.76	0.905	0.905	27.6	NAN	
10.9	2.79	1.195	1.195	27.9	NAN	
11	2.82	1.48	1.48	28.2	NAN	
11.1	2.85	1.825	1.825	28.5	NAN	
11.2	2.88	2.165	2.165	28.8	NAN	
11.3	2.895	2.62	2.62	28.95	NAN	
11.4	2.925	3.25	3.25	29.25	NAN	
11.5	2.955	3.67	3.67	29.55	NAN	
11.6	2.985	4.215	4.215	29.85	NAN	
11.7	3	4.465	4.465	30	NAN	
11.8	3.03	4.47	4.47	30.3	NAN	
11.9	3.045	4.155	4.155	30.45	NAN	
12	3.075	3.89	3.89	30.75	NAN	
12.1	3.105	3.215	3.215	31.05	NAN	
12.2	3.135	2.595	2.595	31.35	NAN	
12.3	3.15	2.175	2.175	31.5	NAN	
12.4	3.18	1.82	1.82	31.8	NAN	
12.5	3.195	1.815	1.815	31.95	NAN	
12.6	3.195	1.765	1.765	31.95	NAN	
12.7	3.195	1.81	1.81	31.95	NAN	
12.8	3.195	1.82	1.82	31.95	NAN	
12.9	3.195	1.81	1.81	31.95	NAN	
13	3.195	1.805	1.805	31.95	NAN	
13.1	3.195	1.845	1.845	31.95	NAN	
13.2	3.195	1.785	1.785	31.95	NAN	
13.3	3.195	1.8	1.8	31.95	NAN	
