3.420201433256687129e-01	4.000000000000000000e+00	0.000000000000000000e+00	2.000000000000000000e+00
4.999999999999999445e-01	1.800000000000000000e+01	0.000000000000000000e+00	4.242640687119284770e+00
6.427876096865392519e-01	2.300000000000000000e+01	0.000000000000000000e+00	4.795831523312719114e+00
7.660444431189780135e-01	2.500000000000000000e+01	0.000000000000000000e+00	5.000000000000000000e+00
8.660254037844385966e-01	3.600000000000000000e+01	0.000000000000000000e+00	6.000000000000000000e+00
9.396926207859083169e-01	3.500000000000000000e+01	0.000000000000000000e+00	5.916079783099616130e+00
9.848077530122080203e-01	8.400000000000000000e+01	0.000000000000000000e+00	9.165151389911679658e+00
9.848077530122080203e-01	7.800000000000000000e+01	0.000000000000000000e+00	8.831760866327847737e+00
9.396926207859084279e-01	2.900000000000000000e+01	0.000000000000000000e+00	5.385164807134503739e+00
8.660254037844387076e-01	3.800000000000000000e+01	0.000000000000000000e+00	6.164414002968976014e+00
7.660444431189780135e-01	3.700000000000000000e+01	0.000000000000000000e+00	6.082762530298219339e+00
6.427876096865394739e-01	3.400000000000000000e+01	0.000000000000000000e+00	5.830951894845300743e+00
4.999999999999999445e-01	3.700000000000000000e+01	0.000000000000000000e+00	6.082762530298219339e+00
3.420201433256688794e-01	2.700000000000000000e+01	0.000000000000000000e+00	5.196152422706632024e+00
